store_id,상호명,주소,위도,경도,카테고리,세부카테고리,메뉴정보,영업시간,가게소개,주차가능여부,최대수용인원,편의시설,평점,리뷰수
1001,오브젝트 커피,서울 마포구 연남동 223-24,37.5602,126.9264,카페,로스터리카페,"[{""메뉴명"": ""아메리카노"", ""가격"": 4800}, {""메뉴명"": ""플랫화이트"", ""가격"": 5500}]","{""평일"": ""09:00-22:00"", ""주말"": ""10:00-23:00""}","직접 로스팅한 스페셜티 원두를 사용하며, 감성적인 인테리어가 특징입니다. 혼자서 간단히 커피 마시기 좋은 곳.",공영주차장 이용,25,"[""와이파이"", ""콘센트"", ""바 테이블""]",4.6,254
1002,옛찻집 소담,서울 종로구 인사동길 42,37.5732,126.9851,카페,전통찻집,"[{""메뉴명"": ""쌍화차"", ""가격"": 7000}, {""메뉴명"": ""대추차"", ""가격"": 6500}]","{""평일"": ""11:00-21:00"", ""주말"": ""11:00-22:00""}","고즈넉한 한옥에서 즐기는 건강한 전통차 전문점입니다. 단체석이 완비되어 있습니다.",불가,30,"[""단체석"", ""장애인 편의시설""]",4.8,312
1003,파파스 베이커리,서울 송파구 잠실동 188-1,37.5112,127.0823,베이커리,베이커리카페,"[{""메뉴명"": ""소금빵"", ""가격"": 3500}, {""메뉴명"": ""딸기케이크"", ""가격"": 7200}]","{""평일"": ""08:00-21:00"", ""주말"": ""08:00-22:00""}","유기농 밀가루와 신선한 재료로 매일 빵을 굽습니다. 아이들과 함께 가기 좋은 식당으로, 놀이방 시설이 있습니다.",가능 (5대),40,"[""와이파이"", ""유아의자"", ""놀이방"", ""수유실""]",4.7,451
1004,농부의 마음,서울 서초구 서초대로 321,37.4923,127.0088,우리 농산물,산지직송,"[{""메뉴명"": ""유기농 상추 (1봉)"", ""가격"": 3000}, {""메뉴명"": ""GAP 사과 (1kg)"", ""가격"": 8000}]","{""평일"": ""10:00-20:00"", ""주말"": ""휴무""}","농가에서 당일 수확한 신선한 채소와 과일을 판매합니다.",가능 (2대),10,"[""장애인 편의시설""]",4.9,88
1005,리틀 이탈리아,서울 강남구 강남대로 456,37.5023,127.0245,양식,이탈리안,"[{""메뉴명"": ""봉골레 파스타"", ""가격"": 16000}, {""메뉴명"": ""마르게리따 피자"", ""가격"": 21000}]","{""평일"": ""11:30-22:00"", ""주말"": ""11:30-23:00""}","애견 동반이 가능한 아늑한 분위기의 이탈리안 레스토랑입니다.",발렛파킹,35,"[""애견동반"", ""와이파이"", ""예약가능""]",4.5,560
1006,필터 스페이스,서울 성동구 성수이로 77,37.5432,127.0568,카페,로스터리카페,"[{""메뉴명"": ""필터커피"", ""가격"": 6500}, {""메뉴명"": ""카페라떼"", ""가격"": 5000}]","{""평일"": ""10:00-20:00"", ""주말"": ""10:00-21:00""}","다양한 원두를 핸드드립으로 즐길 수 있는 스페셜티 커피 전문점. 혼자서 간단히 즐기기 좋습니다.",불가,20,"[""콘센트"", ""1인석""]",4.8,189
1007,만복 순대국,서울 종로구 삼일대로 382,37.5691,126.9848,한식,국밥,"[{""메뉴명"": ""순대국 (특)"", ""가격"": 10000}, {""메뉴명"": ""술국"", ""가격"": 18000}]","{""평일"": ""08:00-22:00"", ""주말"": ""08:00-22:00""}","40년 전통의 진한 국물 맛이 일품입니다. 혼자서 간단히 먹을 수 있는 바 테이블이 있습니다.",공영주차장 이용,50,"[""단체석"", ""바 테이블""]",4.4,672
1008,레이어드 모먼트,서울 마포구 연남동 240-3,37.5615,126.9255,카페,디저트카페,"[{""메뉴명"": ""빅토리아 케이크"", ""가격"": 8500}, {""메뉴명"": ""아메리카노"", ""가격"": 5000}]","{""평일"": ""12:00-22:00"", ""주말"": ""12:00-22:00""}","영국식 스콘과 케이크가 유명한 디저트 맛집. 감성적인 인테리어.",불가,30,"[""와이파이""]",4.7,892
1009,강원도 막국수,강원 속초시 중앙로 129,38.2049,128.5911,한식,막국수,"[{""메뉴명"": ""물막국수"", ""가격"": 9000}, {""메뉴명"": ""수육 (중)"", ""가격"": 25000}]","{""평일"": ""10:00-20:00"", ""주말"": ""10:00-20:00""}","소노펠리체 델피노 가는 길목에 위치. 직접 뽑은 메밀면 전문점. 아이들과 함께 가기 좋은 식당입니다.",가능 (20대),100,"[""단체석"", ""유아의자"", ""예약가능""]",4.6,1203
1010,바다정원,강원 고성군 토성면 아야진리 242,38.2714,128.5302,카페,베이커리카페,"[{""메뉴명"": ""아메리카노"", ""가격"": 7000}, {""메뉴명"": ""오징어먹물빵"", ""가격"": 6500}]","{""평일"": ""10:00-21:00"", ""주말"": ""10:00-22:00""}","동해 바다가 보이는 오션뷰 대형 카페. 7명이 먹기 좋은 단체석 완비. 애견 동반 가능.",가능 (50대),200,"[""와이파이"", ""애견동반"", ""단체석"", ""테라스""]",4.5,3450
